Subject Area;Subcategory;Scholarly Output;Citations;Authors;Citations per Publication;Field-weighted Citation Impact;Scholarly Output Périmètre B;Citations Périmètre B;Authors Périmètre B;Citations per Publication  Périmètre B;Field-weighted Citation Impact  Périmètre B
All;-;5988;40790;15890;6,8;1,16;3108;19993;9995;6,4;1,01
Engineering;-;2494;17774;5997;7,1;1,31;952;5749;2785;6;1,13
Engineering;General Engineering;238;1248;952;5,2;1,22;96;431;497;4,5;0,93
Engineering;Engineering (miscellaneous);106;779;480;7,3;0,84;50;315;258;6,3;0,56
Engineering;Aerospace Engineering;48;354;234;7,4;1,23;23;122;137;5,3;1,16
Engineering;Automotive Engineering;48;288;174;6;1,26;18;120;62;6,7;1,23
Engineering;Biomedical Engineering;73;467;409;6,4;1,04;44;330;287;7,5;0,95
Engineering;Civil and Structural Engineering;224;3286;656;14,7;1,41;111;1192;327;10,7;1,16
Engineering;Computational Mechanics;51;439;140;8,6;1,02;8;36;35;4,5;0,45
Engineering;Control and Systems Engineering;441;2822;1044;6,4;1,24;159;792;413;5;1,26
Engineering;Electrical and Electronic Engineering;1008;7640;2561;7,6;1,22;358;2588;1106;7,2;1,31
Engineering;Industrial and Manufacturing Engineering;247;4152;848;16,8;3,18;84;890;340;10,6;1,37
Engineering;Mechanical Engineering;495;4510;1410;9,1;1,28;159;1218;545;7,7;1,18
Engineering;Mechanics of Materials;337;2240;1068;6,6;1;108;567;410;5,3;0,91
Engineering;Ocean Engineering;78;702;292;9;1,26;43;445;167;10,3;1,4
Engineering;Safety, Risk, Reliability and Quality;155;637;514;4,1;0,76;82;366;256;4,5;1,01
Engineering;Media Technology;67;249;217;3,7;1,21;23;102;88;4,4;1,58
Engineering;Building and Construction;162;2756;448;17;1,63;87;1065;262;12,2;1,14
Engineering;Architecture;34;325;112;9,6;0,91;20;172;67;8,6;0,84
Computer Science;-;1802;8909;3838;4,9;1,08;748;4126;1762;5,5;0,99
Computer Science;General Computer Science;299;1310;927;4,4;0,96;155;741;426;4,8;0,85
Computer Science;Computer Science (miscellaneous);39;234;167;6;1,19;19;116;76;6,1;0,86
Computer Science;Artificial Intelligence;289;1303;882;4,5;1,19;113;439;340;3,9;1,04
Computer Science;Computational Theory and Mathematics;78;478;283;6,1;1,35;49;117;140;2,4;1,32
Computer Science;Computer Graphics and Computer-Aided Design;83;489;295;5,9;1,11;49;297;154;6,1;1,31
Computer Science;Computer Networks and Communications;528;1415;1226;2,7;0,99;146;925;423;6,3;1,03
